X,Y,CH,Density,GF,simulationID,simtime
287.1970713437895,-13.535052719629988,53.40428492401058,16,0.9581151832460733,17,140
302.1970713437895,-13.535052719629988,14.513868587392457,9,0.9764397905759162,17,140
317.1970713437895,-13.535052719629988,5.944865468019649,29,0.9240837696335078,17,140
332.1970713437895,-13.535052719629988,6.184648293791728,9,0.9764397905759162,17,140
347.1970713437895,-13.535052719629988,0,0,1,17,140
362.1970713437895,-13.535052719629988,0,0,1,17,140
-57.802928656210526,1.464947280370012,0,0,1,17,140
-42.802928656210526,1.464947280370012,88.7844198497148,5,0.9869109947643979,17,140
-27.802928656210526,1.464947280370012,53.13896284892498,56,0.8534031413612565,17,140
-12.802928656210526,1.464947280370012,54.02974855275414,100,0.7382198952879581,17,140
2.1970713437894744,1.464947280370012,43.91861721393027,218,0.4293193717277487,17,140
