X,Y,Density,GF,layer,simulationID,simtime
13.673444369858856,-15.124246230385133,0,1,1,42,140
28.673444369858856,-15.124246230385133,10,0.9065420560747663,1,42,140
43.673444369858856,-15.124246230385133,3,0.9719626168224299,1,42,140
58.673444369858856,-15.124246230385133,15,0.8598130841121495,1,42,140
73.67344436985886,-15.124246230385133,6,0.9439252336448598,1,42,140
88.67344436985886,-15.124246230385133,0,1,1,42,140
103.67344436985886,-15.124246230385133,16,0.8504672897196262,1,42,140
118.67344436985886,-15.124246230385133,0,1,1,42,140
133.67344436985886,-15.124246230385133,10,0.9065420560747663,1,42,140
148.67344436985886,-15.124246230385133,0,1,1,42,140
163.67344436985886,-15.124246230385133,0,1,1,42,140
178.67344436985886,-15.124246230385133,1,0.9906542056074766,1,42,140
193.67344436985886,-15.124246230385133,9,0.9158878504672897,1,42,140
208.67344436985886,-15.124246230385133,0,1,1,42,140
223.67344436985886,-15.124246230385133,9,0.9158878504672897,1,42,140
238.67344436985886,-15.124246230385133,1,0.9906542056074766,1,42,140
253.67344436985886,-15.124246230385133,12,0.8878504672897196,1,42,140
268.6734443698589,-15.124246230385133,16,0.8504672897196262,1,42,140
283.6734443698589,-15.124246230385133,8,0.9252336448598131,1,42,140
298.6734443698589,-15.124246230385133,0,1,1,42,140
313.6734443698589,-15.124246230385133,0,1,1,42,140
328.6734443698589,-15.124246230385133,9,0.9158878504672897,1,42,140
343.6734443698589,-15.124246230385133,5,0.9532710280373832,1,42,140
358.6734443698589,-15.124246230385133,0,1,1,42,140
-46.326555630141144,-0.1242462303851326,0,1,1,42,140
-31.326555630141144,-0.1242462303851326,3,0.9719626168224299,1,42,140
-16.326555630141144,-0.1242462303851326,13,0.8785046728971962,1,42,140
-1.3265556301411436,-0.1242462303851326,46,0.5700934579439252,1,42,140
13.673444369858856,-0.1242462303851326,43,0.5981308411214953,1,42,140
28.673444369858856,-0.1242462303851326,74,0.308411214953271,1,42,140
43.673444369858856,-0.1242462303851326,66,0.38317757009345793,1,42,140
58.673444369858856,-0.1242462303851326,49,0.5420560747663551,1,42,140
73.67344436985886,-0.1242462303851326,70,0.34579439252336447,1,42,140
88.67344436985886,-0.1242462303851326,49,0.5420560747663551,1,42,140
103.67344436985886,-0.1242462303851326,78,0.27102803738317754,1,42,140
118.67344436985886,-0.1242462303851326,41,0.616822429906542,1,42,140
133.67344436985886,-0.1242462303851326,52,0.514018691588785,1,42,140
148.67344436985886,-0.1242462303851326,17,0.8411214953271028,1,42,140
163.67344436985886,-0.1242462303851326,6,0.9439252336448598,1,42,140
178.67344436985886,-0.1242462303851326,9,0.9158878504672897,1,42,140
193.67344436985886,-0.1242462303851326,64,0.40186915887850466,1,42,140
208.67344436985886,-0.1242462303851326,61,0.42990654205607476,1,42,140
223.67344436985886,-0.1242462303851326,54,0.4953271028037383,1,42,140
