"","x","y","GF","Height","Intensity"
"423",357617.3,5609905.5,0.980000019073486,0.0839999988675117,3855
"424",357617.5,5609905.5,0.96875,0.0970000028610229,5654
"427",357607.5,5609905.3,0.966666638851166,0.14300000667572,3341
"428",357607.7,5609905.3,0.941176474094391,0.159999996423721,5568.33349609375
"429",357607.9,5609905.3,0.851063847541809,0.179000005125999,6204.71435546875
"430",357608.1,5609905.3,0.857142865657806,0.0780000016093254,6131.28564453125
"431",357608.3,5609905.3,0.97826087474823,0.0549999997019768,4626
"432",357608.5,5609905.3,0.93478262424469,0.10700000077486,5311.33349609375
"433",357608.7,5609905.3,0.795918345451355,0.0930000022053719,6425
"434",357608.9,5609905.3,0.772727251052856,0.0710000023245811,7196
"435",357609.1,5609905.3,0.60869562625885,0.0869999974966049,8793.0712890625
"436",357609.3,5609905.3,0.600000023841858,0.136999994516373,7314.615234375
"437",357609.5,5609905.3,0.954545438289642,0.0839999988675117,8609.5
"438",357609.7,5609905.3,0.866666674613953,0.0759999975562096,11136.6669921875
"439",357609.9,5609905.3,0.830188691616058,0.063000001013279,7238.83349609375
"440",357610.1,5609905.3,0.893617033958435,0.0489999987185001,6579.2001953125
"441",357610.3,5609905.3,0.905660390853882,0.0780000016093254,9937.3330078125
"442",357610.5,5609905.3,0.970149278640747,0.112999998033047,8224
"443",357610.7,5609905.3,0.931034505367279,0.12899999320507,5996.66650390625
"444",357610.9,5609905.3,0.827586233615875,0.158000007271767,5107.875
"445",357611.1,5609905.3,0.915254235267639,0.090999998152256,6553.5
"446",357611.3,5609905.3,0.905660390853882,0.0820000022649765,4883
"447",357611.5,5609905.3,0.927272737026215,0.0659999996423721,6874.75
"448",357611.7,5609905.3,0.851851880550385,0.0500000007450581,7196
"449",357611.9,5609905.3,0.617021262645721,0.0640000030398369,8288.25
"450",357612.1,5609905.3,0.571428596973419,0.090999998152256,7812.7998046875
"451",357612.3,5609905.3,0.744680821895599,0.195999994874001,5996.66650390625
"452",357612.5,5609905.3,0.777777791023254,0.157000005245209,8591.142578125
"453",357612.7,5609905.3,0.644067823886871,0.129999995231628,7902.75
"454",357612.9,5609905.3,0.647058844566345,0.130999997258186,8031.25
"455",357613.1,5609905.3,0.600000023841858,0.109999999403954,6887.60009765625
"456",357613.3,5609905.3,0.70175439119339,0.12899999320507,6168
"457",357613.5,5609905.3,0.740000009536743,0.131999999284744,4304.75
"458",357613.7,5609905.3,0.901960790157318,0.0560000017285347,7710
"459",357613.9,5609905.3,0.939999997615814,0.0989999994635582,7752.8330078125
"460",357614.1,5609905.3,0.963636338710785,0.0829999968409538,11822
"461",357614.3,5609905.3,0.849056601524353,0.0970000028610229,5140
